City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aketi,2.7388,23.7833,295.47,97,100,1.11,CD,1719791554
1,port-aux-francais,-49.35,70.2167,278.9,96,100,11.27,TF,1719791555
2,anchorage,61.2181,-149.9003,291.9,79,75,3.13,US,1719791556
3,punta arenas,-53.15,-70.9167,274.21,93,100,2.06,CL,1719791558
4,ushuaia,-54.8,-68.3,272.96,100,75,0.51,AR,1719791559
5,vila franca do campo,37.7167,-25.4333,293.38,99,70,4.05,PT,1719791561
6,enewetak,11.3474,162.3373,301.65,78,49,7.47,MH,1719791562
7,igarka,67.4667,86.5833,282.58,58,62,3.41,RU,1719791563
8,blackmans bay,-43.0167,147.3167,279.67,81,65,1.8,AU,1719791565
9,weno,7.4515,151.8468,301.83,78,75,6.87,FM,1719791566
10,waterford,42.7023,-83.4027,293.15,58,75,4.12,US,1719791568
11,llallagua,-18.4167,-66.6333,278.08,26,0,1.93,BO,1719791569
12,ormond-by-the-sea,29.3491,-81.0665,304.28,76,10,1.34,US,1719791571
13,saudarkrokur,65.7461,-19.6394,287.22,77,69,7.57,IS,1719791572
14,bethel,41.3712,-73.414,296.42,90,75,1.54,US,1719791573
15,grytviken,-54.2811,-36.5092,265.27,79,17,5.09,GS,1719791575
16,albany,42.6001,-73.9662,295.51,62,28,2.68,US,1719791578
17,hawaiian paradise park,19.5933,-154.9731,301.33,75,75,5.14,US,1719791579
18,nova sintra,14.8667,-24.7167,293.46,84,13,7.11,CV,1719791581
19,badger,64.8,-147.5333,302.1,36,100,0.45,US,1719791582
20,waitangi,-43.9535,-176.5597,284.72,93,15,1.79,NZ,1719791583
21,adamstown,-25.066,-130.1015,292.78,59,4,10.39,PN,1719791587
22,fort bragg,35.139,-79.006,303.23,78,0,2.57,US,1719791588
23,anadyr,64.75,177.4833,283.43,71,20,9.0,RU,1719791590
24,st. john's,47.5649,-52.7093,289.9,87,100,6.17,CA,1719791591
25,kodiak,57.79,-152.4072,283.88,87,100,3.09,US,1719791593
26,udachny,66.4167,112.4,286.32,70,92,5.44,RU,1719791594
27,tralee,52.2704,-9.7026,284.43,96,100,2.4,IE,1719791401
28,sodankyla,67.4167,26.6,282.74,83,28,2.05,FI,1719791597
29,santa cruz,-17.8,-63.1667,289.18,33,75,3.09,BO,1719791466
30,isafjordur,66.0755,-23.124,284.86,89,100,5.57,IS,1719791600
31,jamestown,42.097,-79.2353,288.72,85,100,8.23,US,1719791602
32,carnarvon,-24.8667,113.6333,289.06,68,0,7.01,AU,1719791603
33,kasulu,-4.5767,30.1025,289.77,63,14,0.42,TZ,1719791605
34,phillipsburg,40.6937,-75.1902,299.81,94,29,5.57,US,1719791606
35,tazovsky,67.4667,78.7,279.62,95,96,4.79,RU,1719791608
36,yellowknife,62.456,-114.3525,301.44,38,75,4.63,CA,1719791609
37,inhambane,-23.865,35.3833,292.19,79,0,2.23,MZ,1719791611
38,plouzane,48.3833,-4.6167,287.18,75,100,4.12,FR,1719791612
39,peniche,39.3558,-9.3811,290.53,94,4,4.34,PT,1719791614
40,east london,-33.0153,27.9116,292.77,83,93,2.96,ZA,1719791615
41,colonia,50.9333,6.95,290.53,89,75,2.06,DE,1719791616
42,antsiranana,-12.2787,49.2917,295.89,78,64,6.79,MG,1719791618
43,cangzhou,38.3167,116.8667,297.57,76,100,6.95,CN,1719791398
44,edinburgh of the seven seas,-37.0676,-12.3116,288.78,83,66,13.62,SH,1719791621
45,nkhotakota,-12.9274,34.2961,291.65,65,10,2.73,MW,1719791622
46,praia da vitoria,38.7333,-27.0667,294.68,83,40,5.4,PT,1719791624
47,lodeve,43.7167,3.3167,293.52,87,98,3.88,FR,1719791625
48,qaqortoq,60.7167,-46.0333,276.33,78,3,2.76,GL,1719791626
49,anloga,5.7947,0.8973,298.67,87,59,3.35,GH,1719791628
50,cabugao,17.7931,120.4578,302.53,70,55,0.77,PH,1719791629
51,mazatlan,23.2167,-106.4167,302.54,74,84,2.24,MX,1719791424
52,puerto ayora,-0.7393,-90.3518,294.57,94,13,3.33,EC,1719791632
53,longyearbyen,78.2186,15.6401,281.06,71,40,8.23,SJ,1719791634
54,huamuxtitlan,17.8167,-98.5667,300.15,71,71,0.31,MX,1719791635
55,hermanus,-34.4187,19.2345,283.6,82,82,2.8,ZA,1719791637
56,borujen,31.9652,51.2873,294.25,27,62,0.18,IR,1719791640
57,kavieng,-2.5744,150.7967,302.45,72,97,6.25,PG,1719791641
58,invercargill,-46.4,168.35,282.05,97,100,1.34,NZ,1719791404
59,karratha,-20.7377,116.8463,291.82,45,1,6.93,AU,1719791644
60,holualoa,19.6228,-155.9522,299.57,71,14,0.45,US,1719791646
61,plastun,44.7561,136.2939,290.73,85,94,1.72,RU,1719791647
62,west island,-12.1568,96.8225,300.14,83,75,7.72,CC,1719791648
63,attingal,8.6833,76.8333,298.97,91,100,1.81,IN,1719791650
64,ende,-8.8432,121.6623,298.98,89,98,2.21,ID,1719791651
65,vernon,50.2581,-119.2691,294.12,67,100,2.24,CA,1719791653
66,puerto natales,-51.7236,-72.4875,277.19,78,87,8.13,CL,1719791654
67,sheksna,59.21,38.5107,285.13,69,100,1.1,RU,1719791656
68,qamdo,31.1667,97.2333,277.74,78,0,1.39,CN,1719791476
